palavra,dica
gerontólogo,Profissão
headhunter,Profissão
hepatologista,Profissão
intérprete,Profissão
juiz,Profissão
nutrólogo,Profissão
pizzaiolo,Profissão
perito,Profissão
quiromante,Profissão
quiroprata,Profissão
roteirista,Profissão
silvicultor,Profissão
trader,Profissão
taquígrafo,Profissão
turismólogo,Profissão
ampulheta,Objeto
anzol,Objeto
almofariz,Objeto
bidê,Objeto
botija,Objeto
candelabro,Objeto
daguerreótipo,Objeto
desfibrilador,Objeto
diapasão,Objeto
echarpe,Objeto
estribo,Objeto
fagote,Objeto
fantoche,Objeto
fórceps,Objeto
freezer,Objeto
guidão,Objeto
navalha,Objeto
jaleco,Objeto
modem,Objeto
narguilé,Objeto
nebulizador,Objeto
novelo,Objeto
oboé,Objeto
oxímetro,Objeto
pêndulo,Objeto
quepe,Objeto
quinquilharia,Objeto
selim,Objeto
sintetizador,Objeto
spray,Objeto
urinol,Objeto
vuvuzela,Objeto
webcam,Objeto
xadrez,Objeto
xequerê,Objeto
xilofone,Objeto
zíper,Objeto
abricó,Fruta
alfarroba,Fruta
bergamota,Fruta
ciriguela,Fruta
cranberry,Fruta
dendê,Fruto
feijoa,Fruto
groselha,Fruta
imbu,Fruta
jenipapo,Fruta
kiwi,Fruta
lichia,Fruta
mexerica,Fruta
nectarina,Fruta
nêspera,Fruta
pequi,Fruta
pistache,Fruta
pomelo,Fruta
saguaraji,Fruta
